{'time': 1.3671557903289795, 'x': -0.02149478363370401, 'y': 0.12584653290612827, 'z': 0.11151865615350304, 'yaw': -0.15710690860623, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.376664638519287, 'x': -0.022014882423168857, 'y': 0.13177739271986627, 'z': 0.11714729644398117, 'yaw': -0.16717127893142525, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.3906354904174805, 'x': -0.022606550227563214, 'y': 0.1380281658253483, 'z': 0.12230484662195881, 'yaw': -0.15331444738509248, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4010798931121826, 'x': -0.023157394709625603, 'y': 0.144470634454378, 'z': 0.12772855584314827, 'yaw': -0.16185502590419976, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4071779251098633, 'x': -0.023868594148762436, 'y': 0.15117507758475487, 'z': 0.1330224648664381, 'yaw': -0.16525913611542808, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4208407402038574, 'x': -0.0247669207772225, 'y': 0.15795639639894413, 'z': 0.13855501267291853, 'yaw': -0.1539517047667136, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4308478832244873, 'x': -0.025701486319136106, 'y': 0.16488543247618162, 'z': 0.14370328403881996, 'yaw': -0.14848321144185483, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4409823417663574, 'x': -0.026705903851535467, 'y': 0.1720475132780504, 'z': 0.1495606370291443, 'yaw': -0.1499411052478301, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.44700026512146, 'x': -0.027189300634140844, 'y': 0.1793358020433336, 'z': 0.1561398804591082, 'yaw': -0.15595930248632683, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.461033821105957, 'x': -0.028410936418760954, 'y': 0.18654923990288255, 'z': 0.16178437371220913, 'yaw': -0.14088136502879411, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4670522212982178, 'x': -0.02916281220261331, 'y': 0.19378178764781992, 'z': 0.16804955565583954, 'yaw': -0.13698960700625662, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.476391315460205, 'x': -0.030227518909338055, 'y': 0.20115387287205128, 'z': 0.1741793888699855, 'yaw': -0.13477552623082278, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.4904088973999023, 'x': -0.030841976871844586, 'y': 0.2081122892885701, 'z': 0.1806380993505535, 'yaw': -0.12124840454129782, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5005121231079102, 'x': -0.03163922266442647, 'y': 0.21518141918974937, 'z': 0.1871020318004921, 'yaw': -0.1284902515100219, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.510643482208252, 'x': -0.03236316864216019, 'y': 0.2220666250209426, 'z': 0.19382472419501984, 'yaw': -0.12042480155510393, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5210626125335693, 'x': -0.03301378025005058, 'y': 0.22885930995947848, 'z': 0.20026373672925948, 'yaw': -0.10817451502135356, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5305721759796143, 'x': -0.033395101894083505, 'y': 0.23562832232452585, 'z': 0.20739349864243245, 'yaw': -0.11980058112295122, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.536588191986084, 'x': -0.034083865359808195, 'y': 0.24209743246967286, 'z': 0.21434700528840145, 'yaw': -0.11104833786632096, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5467817783355713, 'x': -0.034586910856731774, 'y': 0.248617956091535, 'z': 0.22136947584643724, 'yaw': -0.10374639066226354, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5567469596862793, 'x': -0.03498979745503888, 'y': 0.2547376688548547, 'z': 0.2283056382041381, 'yaw': -0.10067817455381967, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5709638595581055, 'x': -0.035491402579704595, 'y': 0.26073583357177527, 'z': 0.235337199695745, 'yaw': -0.08879318175695516, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.5808687210083008, 'x': -0.03601396834034978, 'y': 0.2666109553526748, 'z': 0.24262954490693303, 'yaw': -0.08363172044751721, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.590867519378662, 'x': -0.03631970316699752, 'y': 0.2722465423981408, 'z': 0.24948688681214526, 'yaw': -0.07556804893823799, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.596909523010254, 'x': -0.03706165707212475, 'y': 0.2778365200150846, 'z': 0.25672155506245575, 'yaw': -0.06760377908561299, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6110167503356934, 'x': -0.037182422066933174, 'y': 0.28303043860910415, 'z': 0.263818038335892, 'yaw': -0.05055757018691587, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.617032766342163, 'x': -0.03740860711501248, 'y': 0.28820462125558405, 'z': 0.27109840993237405, 'yaw': -0.0513781676247449, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6300675868988037, 'x': -0.03730465178695143, 'y': 0.2928496218989185, 'z': 0.2782680376904753, 'yaw': -0.05148493236120366, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6400926113128662, 'x': -0.03750487347358854, 'y': 0.297569284939521, 'z': 0.2855837389448945, 'yaw': -0.04366977568691599, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6510813236236572, 'x': -0.03770026191774979, 'y': 0.3019645984736061, 'z': 0.2928142047603144, 'yaw': -0.041090611742808925, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6611087322235107, 'x': -0.037775921627978055, 'y': 0.3062765480312294, 'z': 0.30003353490757295, 'yaw': -0.03514650003774911, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6671485900878906, 'x': -0.03808995372303257, 'y': 0.309878453946084, 'z': 0.30712196147941584, 'yaw': -0.021677019070884818, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6809744834899902, 'x': -0.03808978395434592, 'y': 0.31401944206942106, 'z': 0.3143577457662984, 'yaw': -0.02278999879049337, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.6909339427947998, 'x': -0.03814593034787869, 'y': 0.3173876765163537, 'z': 0.3213930822034158, 'yaw': -0.014171654036064574, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.696969985961914, 'x': -0.03817259099841214, 'y': 0.3206432862278387, 'z': 0.3286353588003537, 'yaw': -0.006140529537931982, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7069754600524902, 'x': -0.038100155280856765, 'y': 0.32374575242315895, 'z': 0.33593068707323237, 'yaw': -0.00887698931957459, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7210114002227783, 'x': -0.03818129520174284, 'y': 0.3265759697137781, 'z': 0.34294597502579294, 'yaw': 0.0015996785615441786, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7310397624969482, 'x': -0.03791828803632589, 'y': 0.3288066607757102, 'z': 0.3502483558418893, 'yaw': 0.010191326976545496, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7400894165039062, 'x': -0.037844658486775304, 'y': 0.3313422999135248, 'z': 0.3573374494031614, 'yaw': 0.004110195917079586, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7510926723480225, 'x': -0.03782437522363428, 'y': 0.333523374780903, 'z': 0.3644686970522828, 'yaw': 0.01497662930053624, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7611284255981445, 'x': -0.03756382775552618, 'y': 0.33515840558264154, 'z': 0.3717141979765254, 'yaw': 0.014744417723908334, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.767134428024292, 'x': -0.03735502669057502, 'y': 0.3367827634325814, 'z': 0.37855000559455604, 'yaw': 0.01738273656914206, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.780684471130371, 'x': -0.037378663078245125, 'y': 0.33819609464485034, 'z': 0.3857808454000909, 'yaw': 0.021965051204839884, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.7906875610351562, 'x': -0.036857942435216125, 'y': 0.33904296428964026, 'z': 0.39306181339077323, 'yaw': 0.019503968983066017, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8007230758666992, 'x': -0.03704631624911441, 'y': 0.34013777949829227, 'z': 0.40006470927866367, 'yaw': 0.02841078477309177, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8110322952270508, 'x': -0.03646993271824455, 'y': 0.3405291852865776, 'z': 0.407150127019172, 'yaw': 0.03466266196338064, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8201441764831543, 'x': -0.0364567456840239, 'y': 0.34107580818073446, 'z': 0.4141144174987364, 'yaw': 0.03738098953085894, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.830172061920166, 'x': -0.03604674241783472, 'y': 0.3411287459011968, 'z': 0.4210947248156653, 'yaw': 0.04049084095391205, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8401832580566406, 'x': -0.03595736494260545, 'y': 0.3409044886569816, 'z': 0.4281142861168826, 'yaw': 0.04342700687875436, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.850409746170044, 'x': -0.03583491456741518, 'y': 0.3410613182214988, 'z': 0.43507027480609906, 'yaw': 0.03676790330579295, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.860513687133789, 'x': -0.03568135995916454, 'y': 0.3404357657577718, 'z': 0.4421056397846785, 'yaw': 0.03403006362108519, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8705146312713623, 'x': -0.03536976841967713, 'y': 0.33939525878325777, 'z': 0.44901847954209123, 'yaw': 0.045725002604543236, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8765294551849365, 'x': -0.03521477774841536, 'y': 0.338815937721094, 'z': 0.45599473302056537, 'yaw': 0.03890250981942028, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.8905913829803467, 'x': -0.03487050597511082, 'y': 0.3373070171687259, 'z': 0.46288205290777545, 'yaw': 0.049363026381006564, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9017491340637207, 'x': -0.03478889709657335, 'y': 0.3360018368604708, 'z': 0.4696103982267146, 'yaw': 0.05516885863361225, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9107997417449951, 'x': -0.03431291086363147, 'y': 0.33442484575296477, 'z': 0.47636549122626626, 'yaw': 0.05451375824327819, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.919853687286377, 'x': -0.034154514762360075, 'y': 0.3325245915906533, 'z': 0.48321274517662455, 'yaw': 0.05656274802701149, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9308617115020752, 'x': -0.03362643331801883, 'y': 0.330312947307282, 'z': 0.4900476382386462, 'yaw': 0.04432425611003404, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9408783912658691, 'x': -0.033262408325272455, 'y': 0.3282436679118317, 'z': 0.49662519698556407, 'yaw': 0.04981306437378063, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9505364894866943, 'x': -0.03312039414059512, 'y': 0.32586237542512253, 'z': 0.503314222176378, 'yaw': 0.053031055721172025, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.956587314605713, 'x': -0.033130057141627305, 'y': 0.32329003992034266, 'z': 0.5095704944990646, 'yaw': 0.054131954851829346, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.966773271560669, 'x': -0.03278021631135189, 'y': 0.32058089849563776, 'z': 0.516244512991394, 'yaw': 0.060245238483197544, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.980717420578003, 'x': -0.03258594956785204, 'y': 0.31776574007454256, 'z': 0.5228604342766744, 'yaw': 0.06027323932440797, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 1.9905998706817627, 'x': -0.03228807778578536, 'y': 0.31479389949938075, 'z': 0.5294686786595096, 'yaw': 0.05847012711021749, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0010874271392822, 'x': -0.031947121205823256, 'y': 0.31158653464379604, 'z': 0.535670393208817, 'yaw': 0.06941317670124753, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0101373195648193, 'x': -0.031628652276059536, 'y': 0.30814562206461515, 'z': 0.5420890845632225, 'yaw': 0.06376740447276986, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0213496685028076, 'x': -0.0312640860442173, 'y': 0.30464200591958795, 'z': 0.5484975059187879, 'yaw': 0.060114220611458546, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0306429862976074, 'x': -0.031090501708308196, 'y': 0.30107792199961203, 'z': 0.5549212783200528, 'yaw': 0.06181972887730961, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0407607555389404, 'x': -0.03068731099747757, 'y': 0.29716900166126275, 'z': 0.561102807180803, 'yaw': 0.05844542335431727, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.050786256790161, 'x': -0.03039885097989162, 'y': 0.29329483434873355, 'z': 0.5674955825818456, 'yaw': 0.059941808678110844, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
{'time': 2.0568041801452637, 'x': -0.029908368931415828, 'y': 0.2892560258660214, 'z': 0.5736808359606907, 'yaw': 0.05936141690094034, 'x_sp': -0.024102940385229487, 'y_sp': 0.07884947325265292, 'z_sp': 1, 'yaw_sp': 0}
