{'time': 1.8958549499511719, 'x': -1.288336670112729, 'y': -0.03561631584787246, 'z': 0.061155930660457464, 'yaw': 0.04347562828707918, 'velocity': 0.0028780783599374003, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9058289527893066, 'x': -1.2883461574807238, 'y': -0.035577572130255274, 'z': 0.061185305933984614, 'yaw': 0.04145875385445175, 'velocity': 0.005518047085236196, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.914839506149292, 'x': -1.2883242728954076, 'y': -0.035579314797543726, 'z': 0.06120196650827517, 'yaw': 0.04210323406861814, 'velocity': 0.003058621785686544, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.925778865814209, 'x': -1.2882849202842317, 'y': -0.035644598320038336, 'z': 0.06104765509778761, 'yaw': 0.040572386912069935, 'velocity': 0.017312353183815007, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9357478618621826, 'x': -1.2883425322113202, 'y': -0.03553540019747927, 'z': 0.06119932084566652, 'yaw': 0.04219761922002916, 'velocity': 0.019617371195161198, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.945720911026001, 'x': -1.2883128420242245, 'y': -0.035607864173391846, 'z': 0.06115253996600908, 'yaw': 0.043854563666965864, 'velocity': 0.009146594553458655, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9556982517242432, 'x': -1.2883921099143913, 'y': -0.035462996672237436, 'z': 0.06135428941333718, 'yaw': 0.038986478943536476, 'velocity': 0.02613081023537729, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9656782150268555, 'x': -1.2883420660874518, 'y': -0.03556105737187021, 'z': 0.06115727748631173, 'yaw': 0.041955514387769156, 'velocity': 0.025115921521523175, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9756453037261963, 'x': -1.288345948913774, 'y': -0.03557180367705345, 'z': 0.061207112657383225, 'yaw': 0.0419737052936746, 'velocity': 0.0057059750166663864, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9856224060058594, 'x': -1.2883199506950036, 'y': -0.035582627137572126, 'z': 0.06117777006808066, 'yaw': 0.04230235490635728, 'velocity': 0.004527123126901611, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.995591402053833, 'x': -1.2882927683241727, 'y': -0.035641578635406006, 'z': 0.0611386675147845, 'yaw': 0.043801036788914505, 'velocity': 0.007601939590666458, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
