{'time': 1.540144920349121, 'x': -0.9339154676163035, 'y': 0.07207357731715196, 'z': 0.04918785302708156, 'yaw': 0.15168499776256647, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5511913299560547, 'x': -0.9340169723787586, 'y': 0.07231641301087963, 'z': 0.048780627012668616, 'yaw': 0.14825927286547863, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.557178020477295, 'x': -0.9340151955092665, 'y': 0.072308279072717, 'z': 0.04873515802441256, 'yaw': 0.14917045172089274, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5711784362792969, 'x': -0.9338951434708763, 'y': 0.072062784215033, 'z': 0.0490990359464384, 'yaw': 0.1526151247224327, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5812153816223145, 'x': -0.9339000475977763, 'y': 0.07214495359151162, 'z': 0.04922858834754154, 'yaw': 0.15195947936632234, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.587231159210205, 'x': -0.9339382652415475, 'y': 0.07200413045622743, 'z': 0.04961272338093897, 'yaw': 0.14971932968304613, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6003139019012451, 'x': -0.9339296180792884, 'y': 0.07211208488838043, 'z': 0.04910119248314557, 'yaw': 0.1517681592524663, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6103057861328125, 'x': -0.933924190565084, 'y': 0.07212920053937737, 'z': 0.04919313284885334, 'yaw': 0.1506553621043732, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.620330810546875, 'x': -0.9339167261820077, 'y': 0.07211369277445684, 'z': 0.04916379600331292, 'yaw': 0.15136228047898603, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6302869319915771, 'x': -0.9339721686912267, 'y': 0.0721418508822378, 'z': 0.04921482883925714, 'yaw': 0.15092528476332062, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6403145790100098, 'x': -0.9339957196484948, 'y': 0.07210095822393567, 'z': 0.049135523683779166, 'yaw': 0.15173171213203804, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.651362657546997, 'x': -0.9338751880581688, 'y': 0.07195173180251861, 'z': 0.0495630011005319, 'yaw': 0.14983074002873106, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.660928726196289, 'x': -0.9339379037285047, 'y': 0.07209557691252728, 'z': 0.0491753181834504, 'yaw': 0.15056657277665192, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6669683456420898, 'x': -0.9339276285299882, 'y': 0.0719524790728783, 'z': 0.04952685663353521, 'yaw': 0.15153621072317297, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.67691969871521, 'x': -0.9339399511520386, 'y': 0.07217009490426611, 'z': 0.04918904956861208, 'yaw': 0.15235667205298126, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
