{'time': 1.4411094188690186, 'x': 0.014704413263562631, 'y': 0.010856955664469195, 'z': 0.061039534575699786, 'yaw': 0.001579550228946925, 'velocity': 0.009050205776393141, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4502458572387695, 'x': 0.01469767805807613, 'y': 0.010837010917550906, 'z': 0.06111339148157687, 'yaw': 0.0011881259714644776, 'velocity': 0.00840572927917624, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4604218006134033, 'x': 0.014693574854873031, 'y': 0.010832893176830604, 'z': 0.06109513491076866, 'yaw': 0.0012656599607549013, 'velocity': 0.0018828435000878476, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4705655574798584, 'x': 0.01468510195366602, 'y': 0.010840157396396832, 'z': 0.06113589606347179, 'yaw': 0.0016512454876307914, 'velocity': 0.004166252676282254, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4805405139923096, 'x': 0.014687156514421963, 'y': 0.010853478957409905, 'z': 0.06113075109290642, 'yaw': 0.0014058170700528077, 'velocity': 0.001446383246458061, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4905128479003906, 'x': 0.014694025375353212, 'y': 0.010847732776043737, 'z': 0.06109155162582182, 'yaw': 0.0010609244196134208, 'velocity': 0.0040320980026085935, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.500638484954834, 'x': 0.014823331212442559, 'y': 0.01087652096128536, 'z': 0.061052505679318254, 'yaw': -0.000625001789647861, 'velocity': 0.013639268422053107, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5098669528961182, 'x': 0.014633862282508094, 'y': 0.010929959079353456, 'z': 0.061166651376607005, 'yaw': 0.0028093366483055745, 'velocity': 0.027268553917711286, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5208649635314941, 'x': 0.014627931427976021, 'y': 0.010934032180989347, 'z': 0.06119929787640527, 'yaw': 0.004031335140330239, 'velocity': 0.003345387385139024, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5308222770690918, 'x': 0.014688124123399583, 'y': 0.010838708021119246, 'z': 0.061119056830058666, 'yaw': 0.0009416171330295717, 'velocity': 0.013897125769804206, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5398132801055908, 'x': 0.014677026894270936, 'y': 0.010830417909741848, 'z': 0.06112635814234917, 'yaw': 0.0007970107588195337, 'velocity': 0.001963579299645058, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5497877597808838, 'x': 0.014645514476554159, 'y': 0.010931347585369684, 'z': 0.0611313594673425, 'yaw': 0.00314123197214215, 'velocity': 0.011791029223027924, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5607423782348633, 'x': 0.014655590683978826, 'y': 0.01077612277934523, 'z': 0.061094946870405335, 'yaw': 0.0031355770025242578, 'velocity': 0.01458348609773717, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5707106590270996, 'x': 0.014651865895452882, 'y': 0.010827357664674865, 'z': 0.06113715786309303, 'yaw': 0.0004975595731670153, 'velocity': 0.006669957542482643, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.579831838607788, 'x': 0.014553074843359728, 'y': 0.010865139061509805, 'z': 0.06118910542467666, 'yaw': 0.004521911352534413, 'velocity': 0.012919097628334257, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.590022325515747, 'x': 0.014692072379386965, 'y': 0.010838960371133893, 'z': 0.061155773593029164, 'yaw': 0.0009756510094865462, 'velocity': 0.015604152103455383, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.600264072418213, 'x': 0.014704358419060584, 'y': 0.010923350600828663, 'z': 0.061111864768867125, 'yaw': -0.0001260491737742342, 'velocity': 0.009365587772263421, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6103804111480713, 'x': 0.014715484285247396, 'y': 0.010840544370382038, 'z': 0.061100013372673324, 'yaw': 0.0013910986445910417, 'velocity': 0.008341622932050891, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6203861236572266, 'x': 0.014690898642751641, 'y': 0.010838296820664907, 'z': 0.061095104761109915, 'yaw': 0.0009394988364323932, 'velocity': 0.002515703669077455, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6304295063018799, 'x': 0.014676402296046463, 'y': 0.010836181775761124, 'z': 0.06113298204327459, 'yaw': 0.001205620832718429, 'velocity': 0.004043622537461088, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6402528285980225, 'x': 0.014591660790286492, 'y': 0.010907484347591402, 'z': 0.0611510721555161, 'yaw': 0.002289171312967134, 'velocity': 0.012570590175279893, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6496546268463135, 'x': 0.014598381812812191, 'y': 0.010940431889317917, 'z': 0.06114225020863656, 'yaw': 0.0040366709562226575, 'velocity': 0.0036975961728790024, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6595656871795654, 'x': 0.014722408084406096, 'y': 0.010826749273492076, 'z': 0.06108086185617525, 'yaw': 0.0011225769126434863, 'velocity': 0.018070149414006097, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6705613136291504, 'x': 0.014717892805483326, 'y': 0.01085287423225911, 'z': 0.06109702883339323, 'yaw': 0.0012465000174574322, 'velocity': 0.003105572657498356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6796586513519287, 'x': 0.014711628783550673, 'y': 0.010829513863202508, 'z': 0.061100112178024024, 'yaw': 0.0017761032897174289, 'velocity': 0.0026800569073209476, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6896355152130127, 'x': 0.014619321301899798, 'y': 0.010904467047370093, 'z': 0.061157903760548235, 'yaw': 0.002836929416948123, 'velocity': 0.014489511550043502, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
