{'time': 1.7787325382232666, 'x': -2.5881904510258065, 'y': -9.659258262890521, 'z': 0, 'yaw': 42.149701435663, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.790764331817627, 'x': -0.8715574274772366, 'y': -9.961946980917398, 'z': 0, 'yaw': 42.32423436086243, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8027966022491455, 'x': 0.8715574274758893, 'y': -9.961946980917515, 'z': 0, 'yaw': 42.498767286061856, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.814828634262085, 'x': 2.5881904510245004, 'y': -9.659258262890873, 'z': 0, 'yaw': 42.673300211261285, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8268606662750244, 'x': 4.226182617406296, 'y': -9.063077870366826, 'z': 0, 'yaw': 42.847833136460714, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8388924598693848, 'x': 5.735764363509799, 'y': -8.191520442890381, 'z': 0, 'yaw': 43.02236606166014, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8509242534637451, 'x': 7.071067811864877, 'y': -7.071067811866073, 'z': 0, 'yaw': 43.19689898685957, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8629565238952637, 'x': 8.191520442889411, 'y': -5.735764363511184, 'z': 0, 'yaw': 43.371431912059, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.874988317489624, 'x': 9.063077870366111, 'y': -4.2261826174078285, 'z': 0, 'yaw': 43.54596483725843, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8870205879211426, 'x': 9.659258262890434, 'y': -2.588190451026133, 'z': 0, 'yaw': 43.72049776245786, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.899052619934082, 'x': 9.961946980917368, 'y': -0.8715574274775735, 'z': 0, 'yaw': 43.89503068765729, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9110844135284424, 'x': 9.961946980917546, 'y': 0.8715574274755524, 'z': 0, 'yaw': 44.06956361285672, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9231162071228027, 'x': 9.65925826289096, 'y': 2.588190451024173, 'z': 0, 'yaw': 44.24409653805615, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9351484775543213, 'x': 9.063077870366968, 'y': 4.22618261740599, 'z': 0, 'yaw': 44.41862946325558, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9471805095672607, 'x': 8.191520442890575, 'y': 5.735764363509523, 'z': 0, 'yaw': 44.593162388455006, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9592125415802002, 'x': 7.071067811866312, 'y': 7.071067811864639, 'z': 0, 'yaw': 44.767695313654436, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9712445735931396, 'x': 5.735764363511461, 'y': 8.191520442889217, 'z': 0, 'yaw': 44.942228238853865, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.983276605606079, 'x': 4.226182617408135, 'y': 9.063077870365968, 'z': 0, 'yaw': 45.116761164053294, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9953086376190186, 'x': 2.5881904510264597, 'y': 9.659258262890347, 'z': 0, 'yaw': 45.29129408925272, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.007340669631958, 'x': 0.8715574274779103, 'y': 9.96194698091734, 'z': 0, 'yaw': 45.46582701445215, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0193724632263184, 'x': -0.8715574274752157, 'y': 9.961946980917576, 'z': 0, 'yaw': 45.64035993965158, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.031404495239258, 'x': -2.5881904510238467, 'y': 9.659258262891047, 'z': 0, 'yaw': 45.81489286485101, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0434365272521973, 'x': -4.226182617405684, 'y': 9.063077870367112, 'z': 0, 'yaw': 45.98942579005044, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.055468797683716, 'x': -5.7357643635092455, 'y': 8.19152044289077, 'z': 0, 'yaw': 46.16395871524987, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0675008296966553, 'x': -7.071067811864399, 'y': 7.071067811866552, 'z': 0, 'yaw': 46.3384916404493, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0795326232910156, 'x': -8.191520442889024, 'y': 5.735764363511739, 'z': 0, 'yaw': 46.51302456564873, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.091564893722534, 'x': -9.063077870365824, 'y': 4.226182617408441, 'z': 0, 'yaw': 46.68755749084816, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1035969257354736, 'x': -9.65925826289026, 'y': 2.588190451026786, 'z': 0, 'yaw': 46.862090416047586, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.115628719329834, 'x': -9.96194698091731, 'y': 0.8715574274782472, 'z': 0, 'yaw': 47.036623341247015, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1276605129241943, 'x': -9.961946980917604, 'y': -0.8715574274748789, 'z': 0, 'yaw': 47.211156266446444, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.139692544937134, 'x': -9.659258262891136, 'y': -2.5881904510235203, 'z': 0, 'yaw': 47.385689191645874, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1517245769500732, 'x': -9.063077870367254, 'y': -4.226182617405377, 'z': 0, 'yaw': 47.5602221168453, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.163756847381592, 'x': -8.191520442890962, 'y': -5.735764363508968, 'z': 0, 'yaw': 47.73475504204473, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1757888793945312, 'x': -7.07106781186679, 'y': -7.07106781186416, 'z': 0, 'yaw': 47.90928796724416, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.1878209114074707, 'x': -5.735764363512015, 'y': -8.19152044288883, 'z': 0, 'yaw': 48.08382089244359, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.199852705001831, 'x': -4.226182617408748, 'y': -9.063077870365682, 'z': 0, 'yaw': 48.25835381764302, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.2118847370147705, 'x': -2.5881904510271125, 'y': -9.659258262890173, 'z': 0, 'yaw': 48.43288674284245, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.223917007446289, 'x': -0.8715574274785841, 'y': -9.96194698091728, 'z': 0, 'yaw': 48.60741966804188, 'x_sp': 100, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
