{'time': 1.379218339920044, 'x': 0.004433522222487727, 'y': 0.006379295547310484, 'z': 0.04283455498371797, 'yaw': 0.0720679461074322, 'velocity': 0.007006843021292448, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3901147842407227, 'x': 0.004446740649111413, 'y': 0.006357480600684618, 'z': 0.042801528766467596, 'yaw': 0.07212318368223185, 'velocity': 0.00418462525973795, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4001362323760986, 'x': 0.004447623918863525, 'y': 0.006333038064265559, 'z': 0.04279738174223523, 'yaw': 0.07164977579608023, 'velocity': 0.0024754476922477734, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4091780185699463, 'x': 0.004417855276066516, 'y': 0.006389805384238691, 'z': 0.04286283264853042, 'yaw': 0.07226721015105568, 'velocity': 0.010131925946397509, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.419194221496582, 'x': 0.004426802170993679, 'y': 0.006394777208665491, 'z': 0.042848637419656325, 'yaw': 0.07148071950517494, 'velocity': 0.0019263292322570689, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4301629066467285, 'x': 0.004432062467216637, 'y': 0.006385937488235656, 'z': 0.04285547523652963, 'yaw': 0.07152840536511507, 'velocity': 0.0012387554304484074, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4401366710662842, 'x': 0.004432617072663032, 'y': 0.00636098242521511, 'z': 0.042825335943226524, 'yaw': 0.07252743197344093, 'velocity': 0.003923655355036698, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.449134111404419, 'x': 0.004441059326737918, 'y': 0.006360097840393647, 'z': 0.042820441654488436, 'yaw': 0.07171382443695241, 'velocity': 0.0010890183625810906, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4601266384124756, 'x': 0.004429709453899093, 'y': 0.006358560363808621, 'z': 0.04280608114027258, 'yaw': 0.07224851353371847, 'velocity': 0.0018374814755366014, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4661149978637695, 'x': 0.004415273241245456, 'y': 0.006423438498629521, 'z': 0.042853956286085654, 'yaw': 0.07241172030724778, 'velocity': 0.013678568658800076, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4792275428771973, 'x': 0.004411117019242201, 'y': 0.006400275471883988, 'z': 0.04289538963981739, 'yaw': 0.0722061413696386, 'velocity': 0.004766823249914991, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
