{'time': 1.4589002132415771, 'x': -1.287915991511879, 'y': -0.03471220967627194, 'z': 0.06098537735417339, 'yaw': 0.05541360487700033, 'velocity': 0.002579340939058148, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4688761234283447, 'x': -1.2879919951859655, 'y': -0.03461404676755575, 'z': 0.06103864781926513, 'yaw': 0.05498419672673621, 'velocity': 0.013541973779866231, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4779126644134521, 'x': -1.2879373583776963, 'y': -0.0346656744963595, 'z': 0.06104937673871069, 'yaw': 0.05829753833596685, 'velocity': 0.009439333565528833, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.48799729347229, 'x': -1.2879767818717913, 'y': -0.03461791598231785, 'z': 0.06108883904836157, 'yaw': 0.056828400796618, 'velocity': 0.008022898344617465, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4986813068389893, 'x': -1.287965365633872, 'y': -0.03469312510851662, 'z': 0.061047813844480485, 'yaw': 0.05637710009409433, 'velocity': 0.00893156874910812, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5087554454803467, 'x': -1.2879789081392978, 'y': -0.034679217468442124, 'z': 0.06100258209543457, 'yaw': 0.05637165283173506, 'velocity': 0.004885903178424375, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5187292098999023, 'x': -1.2879458913736026, 'y': -0.034687574720927775, 'z': 0.06101127901920034, 'yaw': 0.05577084956057121, 'velocity': 0.0035243380097877987, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5287044048309326, 'x': -1.2879531256119028, 'y': -0.03464869646571541, 'z': 0.06103882847300881, 'yaw': 0.05696360763477157, 'velocity': 0.004831554537114081, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.538679599761963, 'x': -1.2879372374368583, 'y': -0.03465067278874542, 'z': 0.061048971541099034, 'yaw': 0.05838613267114965, 'velocity': 0.0019000277531639762, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5446624755859375, 'x': -1.2879705779530055, 'y': -0.03462559115503867, 'z': 0.06105342118408044, 'yaw': 0.05555990612886455, 'velocity': 0.007013023169410129, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5546364784240723, 'x': -1.2879534602888678, 'y': -0.034743439680923464, 'z': 0.0609981155142625, 'yaw': 0.05688659212084248, 'velocity': 0.021942671601914977, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5685975551605225, 'x': -1.28794483092917, 'y': -0.03466474066968191, 'z': 0.06102141439348718, 'yaw': 0.05526593012972467, 'velocity': 0.005911277682062638, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.578573226928711, 'x': -1.2879862599089877, 'y': -0.03464355432349151, 'z': 0.06107416047317786, 'yaw': 0.05614960829314879, 'velocity': 0.007834945978577389, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5886430740356445, 'x': -1.2879546514560438, 'y': -0.034698367834069294, 'z': 0.0609863936604905, 'yaw': 0.05598692265925556, 'velocity': 0.011927037328786907, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5986156463623047, 'x': -1.2879420240519635, 'y': -0.03471941721493758, 'z': 0.06100554476810185, 'yaw': 0.056520982891817555, 'velocity': 0.0031219092487293123, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.608590841293335, 'x': -1.2879193472705484, 'y': -0.0347168984494254, 'z': 0.06099061931308807, 'yaw': 0.055522694168261916, 'velocity': 0.002733223989852819, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.618563175201416, 'x': -1.2879149065552706, 'y': -0.03463758309502321, 'z': 0.06106001172428501, 'yaw': 0.056871872603461965, 'velocity': 0.010577225947625892, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.628800392150879, 'x': -1.2879995185507966, 'y': -0.03463586651648262, 'z': 0.06101358479183648, 'yaw': 0.0559465924109495, 'velocity': 0.009429095671037589, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6377971172332764, 'x': -1.2879436107571751, 'y': -0.03468407138254816, 'z': 0.061015976274859746, 'yaw': 0.05578429218327782, 'velocity': 0.008209511095618603, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6487479209899902, 'x': -1.2879628394562257, 'y': -0.03469180303925409, 'z': 0.060989096330231495, 'yaw': 0.05613829615357599, 'velocity': 0.003099489694565821, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6587214469909668, 'x': -1.2879126500667084, 'y': -0.034690592246142335, 'z': 0.060997924690344985, 'yaw': 0.055010617927483484, 'velocity': 0.005110962253763487, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.668821096420288, 'x': -1.2879694719324026, 'y': -0.03469954763244496, 'z': 0.060975006971731624, 'yaw': 0.055779458088643076, 'velocity': 0.006130952877819731, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.678769826889038, 'x': -1.2879271927829774, 'y': -0.03478608013380876, 'z': 0.0609089078748624, 'yaw': 0.05535892301122503, 'velocity': 0.013017379710224005, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6887626647949219, 'x': -1.2879329076729067, 'y': -0.03464356428319315, 'z': 0.06108242716058426, 'yaw': 0.056319902266591726, 'velocity': 0.02247770379719614, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.698730230331421, 'x': -1.2879446580788114, 'y': -0.03471228623940098, 'z': 0.06102789525462328, 'yaw': 0.05599409243987179, 'velocity': 0.009813105541329071, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.708691120147705, 'x': -1.2879741637066124, 'y': -0.034632372537181294, 'z': 0.061044040966411285, 'yaw': 0.055109572206899854, 'velocity': 0.00870437507724207, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7176668643951416, 'x': -1.2879483495234019, 'y': -0.034692324408154326, 'z': 0.06101030289021279, 'yaw': 0.056640176759622914, 'velocity': 0.008186163787104886, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7286503314971924, 'x': -1.2879477889180484, 'y': -0.03470923597903858, 'z': 0.06097799796668945, 'yaw': 0.05586803964050687, 'velocity': 0.003651603585445695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7386233806610107, 'x': -1.2879876184397165, 'y': -0.034689061505356805, 'z': 0.06106450425518418, 'yaw': 0.057102187687404736, 'velocity': 0.009761161090727203, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7486026287078857, 'x': -1.287949509443736, 'y': -0.03469401932837463, 'z': 0.06104810896508992, 'yaw': 0.05622649650826959, 'velocity': 0.0046445543206355905, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7585639953613281, 'x': -1.287953761075505, 'y': -0.03464298383323369, 'z': 0.061082157057588446, 'yaw': 0.05762672442124963, 'velocity': 0.006173623729474913, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7685704231262207, 'x': -1.287941114128316, 'y': -0.03468921860827657, 'z': 0.06098123006508065, 'yaw': 0.05613854074266787, 'velocity': 0.011165941211214387, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7785704135894775, 'x': -1.287915228182963, 'y': -0.03469509088493997, 'z': 0.06100580417552324, 'yaw': 0.055080362529003904, 'velocity': 0.0036172575243614167, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
