{'time': 1.2743871212005615, 'x': 0.05077819671012241, 'y': 0.018424928690783153, 'z': 0.04868572643154628, 'yaw': 0.25943672045026095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2804033756256104, 'x': 0.050818552792849164, 'y': 0.018518246350054193, 'z': 0.04873611123081565, 'yaw': 0.263591397846996, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.286419153213501, 'x': 0.05084327574874008, 'y': 0.01851463826998283, 'z': 0.04873077184023352, 'yaw': 0.2637014116143146, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2924344539642334, 'x': 0.05085301600509507, 'y': 0.018516796061066296, 'z': 0.04869393471982637, 'yaw': 0.2638538712369811, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.2984507083892822, 'x': 0.05083702444358488, 'y': 0.018522696323941216, 'z': 0.048683472991802625, 'yaw': 0.2640148999478694, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3044664859771729, 'x': 0.05083939771429638, 'y': 0.0185135995232026, 'z': 0.04868877489887373, 'yaw': 0.263889957381773, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.310483694076538, 'x': 0.05082744249196104, 'y': 0.018506359302434425, 'z': 0.048714814291408295, 'yaw': 0.2635271968531996, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3164992332458496, 'x': 0.05080677081841028, 'y': 0.01841889185711898, 'z': 0.048691531751695556, 'yaw': 0.25959425519783624, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3225138187408447, 'x': 0.05081218355613358, 'y': 0.018429003954276366, 'z': 0.04866902134131485, 'yaw': 0.2596893577604823, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3285298347473145, 'x': 0.0508269779113864, 'y': 0.018515760571500554, 'z': 0.04869507198732583, 'yaw': 0.2641113947107165, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.334547519683838, 'x': 0.05083327801926326, 'y': 0.018515689730290354, 'z': 0.048676011687792654, 'yaw': 0.2642146219113272, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3405628204345703, 'x': 0.05081605860763534, 'y': 0.018450322104867876, 'z': 0.04865271309655029, 'yaw': 0.2592358005468191, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3465816974639893, 'x': 0.050817667319568494, 'y': 0.018439501550204497, 'z': 0.04867725415237763, 'yaw': 0.2596974332094308, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3525938987731934, 'x': 0.050823570602628994, 'y': 0.01842197864786901, 'z': 0.04866959619667161, 'yaw': 0.2597744380867278, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3586106300354004, 'x': 0.0508244041563298, 'y': 0.018515680731710324, 'z': 0.04871287791370282, 'yaw': 0.26358741528261526, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3646271228790283, 'x': 0.05081196144284061, 'y': 0.01851400537280575, 'z': 0.04871486012768553, 'yaw': 0.26342227121611933, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.370642900466919, 'x': 0.050787980749152535, 'y': 0.018423956433891924, 'z': 0.04867706686708899, 'yaw': 0.25934059962204176, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3766589164733887, 'x': 0.050806795204817554, 'y': 0.018423630785391183, 'z': 0.04866279543778859, 'yaw': 0.2594564345496838, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3826746940612793, 'x': 0.05082260325194894, 'y': 0.018425108206959355, 'z': 0.0486532818192929, 'yaw': 0.2596334772376183, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3886911869049072, 'x': 0.05082419653143556, 'y': 0.018523569940026623, 'z': 0.04869211444370238, 'yaw': 0.2632798411011135, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.394707202911377, 'x': 0.05078917991041797, 'y': 0.018420953498486277, 'z': 0.04863947304370195, 'yaw': 0.25970208391743177, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.400721788406372, 'x': 0.050827559070510474, 'y': 0.018454041228850658, 'z': 0.04865779642364419, 'yaw': 0.25965335503489095, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4067389965057373, 'x': 0.05081748996552877, 'y': 0.018431671704032402, 'z': 0.048670252371235845, 'yaw': 0.25982613396934, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4127538204193115, 'x': 0.05082874313647766, 'y': 0.01851165559658284, 'z': 0.0487469844470049, 'yaw': 0.2636667966384572, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4187710285186768, 'x': 0.050821239016297814, 'y': 0.018512608453101584, 'z': 0.04869018902664136, 'yaw': 0.2637811232861923, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4247872829437256, 'x': 0.05084271689053968, 'y': 0.01852005595188716, 'z': 0.04865946509603719, 'yaw': 0.2639897263176529, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4308030605316162, 'x': 0.05085621102528207, 'y': 0.018522162168084225, 'z': 0.04867784187942675, 'yaw': 0.2637403585790956, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
