{'time': 1.5190417766571045, 'x': -1.2790754770826929, 'y': -0.04127196520549647, 'z': 0.06263099095467183, 'yaw': 0.04685576736988359, 'velocity': 0.0035633205147989895, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5290138721466064, 'x': -1.2790806016593155, 'y': -0.041276473824327996, 'z': 0.06262916213571917, 'yaw': 0.04643050916986898, 'velocity': 0.0007086138081144788, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.538926124572754, 'x': -1.279059636170048, 'y': -0.041258063964810625, 'z': 0.06269114711340755, 'yaw': 0.045972754815552776, 'velocity': 0.006857682964479986, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.544910192489624, 'x': -1.2790641223157535, 'y': -0.04126252089148335, 'z': 0.0626633392304298, 'yaw': 0.047180736206102816, 'velocity': 0.004765630237825373, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5588746070861816, 'x': -1.2790564799019875, 'y': -0.04124601325868716, 'z': 0.06263656210786113, 'yaw': 0.04653915583093254, 'velocity': 0.003245213226201263, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5688459873199463, 'x': -1.279066082648321, 'y': -0.04128035116587978, 'z': 0.06263556368883055, 'yaw': 0.046686228344185246, 'velocity': 0.0035771712647427825, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5791645050048828, 'x': -1.2790666861674724, 'y': -0.04128441310968814, 'z': 0.06263786633608895, 'yaw': 0.04635952031216674, 'velocity': 0.0005051811308782357, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5892157554626465, 'x': -1.2790624113270683, 'y': -0.04126360451224117, 'z': 0.0626561826112827, 'yaw': 0.04656893429985436, 'velocity': 0.0027906184953056788, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5991606712341309, 'x': -1.279091727509378, 'y': -0.04125805370102014, 'z': 0.06266464582951552, 'yaw': 0.04664359812872961, 'velocity': 0.0031185912835143687, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6081371307373047, 'x': -1.2790818489288924, 'y': -0.04125072057433609, 'z': 0.06267252293871478, 'yaw': 0.04689409474903018, 'velocity': 0.0016274297649771239, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6182410717010498, 'x': -1.2790659806229425, 'y': -0.04127947225407109, 'z': 0.06265084576718075, 'yaw': 0.04653103140774674, 'velocity': 0.004320374789634209, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.629237174987793, 'x': -1.2790574474426442, 'y': -0.041272887628527134, 'z': 0.0626343065132434, 'yaw': 0.04705559819740776, 'velocity': 0.001795300662513794, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6352436542510986, 'x': -1.2790682943729879, 'y': -0.04128457359320605, 'z': 0.062641595617442, 'yaw': 0.04668748273842022, 'velocity': 0.0029187420441185337, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6492078304290771, 'x': -1.2790951436323983, 'y': -0.04126665923107346, 'z': 0.06266863615010558, 'yaw': 0.046823359427419664, 'velocity': 0.0038384182449341404, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6592402458190918, 'x': -1.2790761603982943, 'y': -0.04127050371109541, 'z': 0.06265553875556167, 'yaw': 0.04593681705546682, 'velocity': 0.002330574832922527, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6682207584381104, 'x': -1.2790646781975803, 'y': -0.04126616379381984, 'z': 0.06264540825181435, 'yaw': 0.04650486087324192, 'velocity': 0.0017722254618270674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6785719394683838, 'x': -1.2790575962463808, 'y': -0.04129803621613263, 'z': 0.0626369103011456, 'yaw': 0.04669215893160015, 'velocity': 0.0036068880103187276, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6887784004211426, 'x': -1.2790622782381433, 'y': -0.041276227170319854, 'z': 0.06266401348480279, 'yaw': 0.0459274797122658, 'velocity': 0.003803547673376521, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6988461017608643, 'x': -1.2790845723704338, 'y': -0.04125491840270616, 'z': 0.06265110326328598, 'yaw': 0.04647159467812116, 'velocity': 0.0036950772289291497, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7091705799102783, 'x': -1.279088058538441, 'y': -0.041268222886169076, 'z': 0.06264223205036856, 'yaw': 0.04724435553794018, 'velocity': 0.0017548421563333724, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7190284729003906, 'x': -1.2790658850016534, 'y': -0.04126641463955509, 'z': 0.06263809305352118, 'yaw': 0.046791112472838126, 'velocity': 0.0025556695332686523, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7289807796478271, 'x': -1.279089391334027, 'y': -0.04123661788453783, 'z': 0.0626471051488482, 'yaw': 0.046175510008550615, 'velocity': 0.0043473035476784515, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7389545440673828, 'x': -1.2790439521664965, 'y': -0.041271558171539297, 'z': 0.06262300595972062, 'yaw': 0.04655006353380387, 'velocity': 0.0069483795390706555, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7489631175994873, 'x': -1.2790616579663912, 'y': -0.04126785842802743, 'z': 0.06265193047015226, 'yaw': 0.0468170145646321, 'velocity': 0.003787983790334038, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7589356899261475, 'x': -1.2790664107654326, 'y': -0.04125406623642926, 'z': 0.06268849494841568, 'yaw': 0.046763963957466896, 'velocity': 0.004370973976667766, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.768878698348999, 'x': -1.2790598308655317, 'y': -0.04126210001158129, 'z': 0.06263775455431836, 'yaw': 0.0461527841247569, 'velocity': 0.005771458257150005, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7789876461029053, 'x': -1.2790661878879073, 'y': -0.041257059901139155, 'z': 0.0626378197850607, 'yaw': 0.04713682477708945, 'velocity': 0.0008905250841958093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7889611721038818, 'x': -1.2790674952501113, 'y': -0.04124187897418502, 'z': 0.06268316280384201, 'yaw': 0.046846720792385575, 'velocity': 0.005313522561963444, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.798903465270996, 'x': -1.2790677671485415, 'y': -0.04125739441235992, 'z': 0.06263347166713465, 'yaw': 0.04651310114035772, 'velocity': 0.005800290327082977, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8089251518249512, 'x': -1.279076993313959, 'y': -0.041269337948116366, 'z': 0.06266374434758629, 'yaw': 0.04709716843486558, 'velocity': 0.003750580682978265, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8188543319702148, 'x': -1.2790716614947386, 'y': -0.041272310589934386, 'z': 0.0626767426053017, 'yaw': 0.04652171806765282, 'velocity': 0.001599396312160522, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8288238048553467, 'x': -1.2790631731876196, 'y': -0.041257896180865526, 'z': 0.0626682734779373, 'yaw': 0.04619633830326402, 'velocity': 0.002089211517748009, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8387997150421143, 'x': -1.2790739516715603, 'y': -0.04123658020233688, 'z': 0.06265479444257849, 'yaw': 0.046340558817750434, 'velocity': 0.002749306112849705, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8488452434539795, 'x': -1.2790878071542782, 'y': -0.04124747054498727, 'z': 0.06262786900603792, 'yaw': 0.046445082676108904, 'velocity': 0.003569857657218201, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8595974445343018, 'x': -1.279068433491382, 'y': -0.041253650699378155, 'z': 0.06266267815833089, 'yaw': 0.04672807544917518, 'velocity': 0.003749362166537343, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8695695400238037, 'x': -1.2790775943428943, 'y': -0.04127207707375565, 'z': 0.0626754781282321, 'yaw': 0.04669183359879779, 'velocity': 0.002430191536413915, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8785462379455566, 'x': -1.2790571325142188, 'y': -0.041280032099802785, 'z': 0.06264769569333438, 'yaw': 0.04681464515313076, 'velocity': 0.004413878977444166, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8894762992858887, 'x': -1.2790718075236815, 'y': -0.041270477431617554, 'z': 0.06268064002820575, 'yaw': 0.04684786596156721, 'velocity': 0.004157221940599592, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.8994464874267578, 'x': -1.2790611569289194, 'y': -0.04127052695531103, 'z': 0.06265803601898984, 'yaw': 0.04644526644499711, 'velocity': 0.002785083615791488, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9098024368286133, 'x': -1.2790697925955532, 'y': -0.041258699890116726, 'z': 0.06261271407686522, 'yaw': 0.046759931339114304, 'velocity': 0.0045992031916438246, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9188244342803955, 'x': -1.2790856568775177, 'y': -0.041227890946776244, 'z': 0.06264773528971394, 'yaw': 0.04682376656091123, 'velocity': 0.00546089291289962, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9287512302398682, 'x': -1.2790617892367948, 'y': -0.04126867090458414, 'z': 0.0626433610430038, 'yaw': 0.046366976454671596, 'velocity': 0.00530967099833955, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.938730239868164, 'x': -1.279052858435418, 'y': -0.041278121011167714, 'z': 0.06266351121746996, 'yaw': 0.046877367019971874, 'velocity': 0.0026813828249337528, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.949707269668579, 'x': -1.279048927249744, 'y': -0.041269174660833866, 'z': 0.06267691814822599, 'yaw': 0.04684662510504286, 'velocity': 0.0016692571452708897, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9593753814697266, 'x': -1.2790533876408385, 'y': -0.04126951987792263, 'z': 0.06262465468253049, 'yaw': 0.04659398056679551, 'velocity': 0.006049562818220107, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9693231582641602, 'x': -1.279069222010456, 'y': -0.04124967313585741, 'z': 0.06265728267033609, 'yaw': 0.046672914898427564, 'velocity': 0.004155958237612674, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.979325532913208, 'x': -1.279061455942783, 'y': -0.041246845888675845, 'z': 0.06264756464221594, 'yaw': 0.046759504603962165, 'velocity': 0.0014166270212045576, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9892950057983398, 'x': -1.2790730660609286, 'y': -0.04125009464517952, 'z': 0.06265484787175234, 'yaw': 0.04692612627860197, 'velocity': 0.0015683838803634113, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.9992682933807373, 'x': -1.279080838453096, 'y': -0.04126556654135363, 'z': 0.06267139152053323, 'yaw': 0.04646930062030928, 'velocity': 0.0026610948696276383, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.009338855743408, 'x': -1.2790659347667994, 'y': -0.04126796486650806, 'z': 0.06267793143865631, 'yaw': 0.04665315270065502, 'velocity': 0.0018078806808528025, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0193283557891846, 'x': -1.2790699259142488, 'y': -0.04127460273632944, 'z': 0.06264252931472485, 'yaw': 0.04697269309830435, 'velocity': 0.0036277585674332857, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0293383598327637, 'x': -1.2790668084157844, 'y': -0.041267698654990574, 'z': 0.06265050500939898, 'yaw': 0.04641437361584967, 'velocity': 0.00123172549317549, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.039273262023926, 'x': -1.279058087864919, 'y': -0.04126554795836111, 'z': 0.0626334591970587, 'yaw': 0.04681339336896069, 'velocity': 0.001939366195739317, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0492475032806396, 'x': -1.279063595969913, 'y': -0.04125992551209557, 'z': 0.062652727708908, 'yaw': 0.04671982713350469, 'velocity': 0.0020867850864468513, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.058803081512451, 'x': -1.2791030731858433, 'y': -0.0412634032011567, 'z': 0.06268729293881134, 'yaw': 0.04761762178046903, 'velocity': 0.0061477317913262485, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.068807601928711, 'x': -1.2790583787979706, 'y': -0.04128621845229956, 'z': 0.0626738520117676, 'yaw': 0.046857387008572664, 'velocity': 0.005768034887295398, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.078749656677246, 'x': -1.2790609971348743, 'y': -0.04125600568468195, 'z': 0.06265650922018291, 'yaw': 0.046370661574408695, 'velocity': 0.003513839865812348, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 2.0885956287384033, 'x': -1.2790669271605486, 'y': -0.041260583598979876, 'z': 0.0626703718665741, 'yaw': 0.046505042663069034, 'velocity': 0.0016003898854170739, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
