{'time': 1.3749258518218994, 'x': 0.38019730062569307, 'y': -0.009052932163543565, 'z': 0.04478963189320656, 'yaw': -0.017656895209471557, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3809401988983154, 'x': 0.38020903026026537, 'y': -0.009040052504085915, 'z': 0.044786585787485435, 'yaw': -0.017923607734969593, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3869566917419434, 'x': 0.38025597431865965, 'y': -0.008996955753680331, 'z': 0.04488692007580646, 'yaw': -0.020121700690183708, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3929734230041504, 'x': 0.38025979610360466, 'y': -0.008993356525577798, 'z': 0.04488451513044203, 'yaw': -0.020233912992172698, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.3989930152893066, 'x': 0.38026037579897803, 'y': -0.008994264730839032, 'z': 0.044855006348387065, 'yaw': -0.019857900647727078, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4050042629241943, 'x': 0.3802636304281345, 'y': -0.008981476977614524, 'z': 0.04483568385585228, 'yaw': -0.02021280967673178, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.411020278930664, 'x': 0.38026924668118767, 'y': -0.008993798911440878, 'z': 0.044863394625351084, 'yaw': -0.020312061819339533, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4170377254486084, 'x': 0.38026908766279455, 'y': -0.00899525827923752, 'z': 0.04487656412866563, 'yaw': -0.020075319940719538, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4230537414550781, 'x': 0.3802197066702566, 'y': -0.00904738223509576, 'z': 0.04479331200116849, 'yaw': -0.018204320089629356, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.429065227508545, 'x': 0.3802014246001057, 'y': -0.009049905485326536, 'z': 0.044774870473882525, 'yaw': -0.017325541109857845, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.435056447982788, 'x': 0.38022565773717376, 'y': -0.009056246547717802, 'z': 0.04479524647800513, 'yaw': -0.017807452825242542, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4410970211029053, 'x': 0.38027831151308716, 'y': -0.009000403169017982, 'z': 0.04487618476357437, 'yaw': -0.020249371181852993, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.447113037109375, 'x': 0.38022591847052173, 'y': -0.009042063219514793, 'z': 0.0448149830278313, 'yaw': -0.017879959182007354, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4531280994415283, 'x': 0.3802901524404484, 'y': -0.008994728150697419, 'z': 0.04488899779274511, 'yaw': -0.019962547195168767, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4583001136779785, 'x': 0.3802932343018199, 'y': -0.00898878579872669, 'z': 0.04488545473907282, 'yaw': -0.01992941273516724, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
