{'time': 1.4257094860076904, 'x': -0.03390527918673924, 'y': 0.0032667218426649276, 'z': 0.03978471408244346, 'yaw': -0.01717045669917905, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.435779333114624, 'x': -0.033977340737585425, 'y': 0.0034462028462844624, 'z': 0.03995729019149942, 'yaw': -0.022357055845075635, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4457547664642334, 'x': -0.034067721754740335, 'y': 0.0033992457186394357, 'z': 0.040110284630617485, 'yaw': -0.022550021334931003, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.451779842376709, 'x': -0.033874345993453805, 'y': 0.003590383415581933, 'z': 0.040001377295335094, 'yaw': -0.0263859388598382, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.462672472000122, 'x': -0.03395439546879757, 'y': 0.0034653028678915602, 'z': 0.03998647179708131, 'yaw': -0.022011134670004928, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4758176803588867, 'x': -0.03396758337839832, 'y': 0.003481958796484341, 'z': 0.039972591508506995, 'yaw': -0.022393231850261763, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4818010330200195, 'x': -0.0339567808283559, 'y': 0.003455684147433938, 'z': 0.039946359215651504, 'yaw': -0.02107405547897212, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.4918949604034424, 'x': -0.03396042077918567, 'y': 0.0034516633567108967, 'z': 0.03993674175562595, 'yaw': -0.02168443703738543, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5061018466949463, 'x': -0.03395564718229566, 'y': 0.003458015163784379, 'z': 0.039960024826897665, 'yaw': -0.02210281534161762, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5120046138763428, 'x': -0.03387816160071901, 'y': 0.003691895118746163, 'z': 0.039879056207021944, 'yaw': -0.027449360914292953, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.525285005569458, 'x': -0.03379585989347149, 'y': 0.003526336006967502, 'z': 0.039730509614529105, 'yaw': -0.02313756490715324, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5362937450408936, 'x': -0.033971769037978286, 'y': 0.0034661346830013855, 'z': 0.03998704009687236, 'yaw': -0.02174544868360151, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5422818660736084, 'x': -0.033961313023178244, 'y': 0.003477190156719052, 'z': 0.03995065087092411, 'yaw': -0.02187403688984446, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5557470321655273, 'x': -0.033959561090732227, 'y': 0.003455737970245033, 'z': 0.039958014322026204, 'yaw': -0.02187605076685184, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5657174587249756, 'x': -0.03394164350177592, 'y': 0.0034387801705726825, 'z': 0.03994346479595372, 'yaw': -0.02145614320691802, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5759706497192383, 'x': -0.03218041350996259, 'y': 0.004003937978884251, 'z': 0.0408447694744063, 'yaw': -0.0009217842057083203, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.586160659790039, 'x': -0.032154116649620194, 'y': 0.004001733926254982, 'z': 0.0408339701227529, 'yaw': -0.000682973330383696, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.5921657085418701, 'x': -0.032145204984003764, 'y': 0.00403179276585901, 'z': 0.040811607808276355, 'yaw': -0.0010753876335405366, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6022629737854004, 'x': -0.032161165337768076, 'y': 0.004015602574752979, 'z': 0.04082651785982471, 'yaw': -0.0007807905879513299, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6160194873809814, 'x': -0.03232017101137442, 'y': 0.003966195078836048, 'z': 0.04068385894645304, 'yaw': -0.0016384957959854063, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6220269203186035, 'x': -0.033943278035072175, 'y': 0.003456697556525791, 'z': 0.03993447874019817, 'yaw': -0.022815477375926818, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.636042833328247, 'x': -0.033997970767501315, 'y': 0.0033633771046228853, 'z': 0.040099793087311444, 'yaw': -0.022264525376582966, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6421637535095215, 'x': -0.03390830842415515, 'y': 0.0032470834682755394, 'z': 0.039793865550246006, 'yaw': -0.017162031441098513, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.652050256729126, 'x': -0.03394118917503579, 'y': 0.003475869067388627, 'z': 0.03993806092151779, 'yaw': -0.02294791812377195, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6621649265289307, 'x': -0.033937220783858725, 'y': 0.0034502453239485414, 'z': 0.03992748938077885, 'yaw': -0.021490586117005606, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.67216157913208, 'x': -0.03392568271663987, 'y': 0.003447324321779035, 'z': 0.039931456924927236, 'yaw': -0.022852858255105524, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6823806762695312, 'x': -0.033949728454746905, 'y': 0.003454805804617115, 'z': 0.03994980244534934, 'yaw': -0.022571443215482212, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.6963896751403809, 'x': -0.033996226257783854, 'y': 0.003359304362184108, 'z': 0.040115295044766436, 'yaw': -0.02092204397838504, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7065351009368896, 'x': -0.03392754345418367, 'y': 0.003463832524425563, 'z': 0.039944288100542305, 'yaw': -0.02219356791081939, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.712517261505127, 'x': -0.033879282742532615, 'y': 0.003686901207605464, 'z': 0.039894571049606274, 'yaw': -0.02658166423440811, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7224891185760498, 'x': -0.03394830879683392, 'y': 0.0034561294588737715, 'z': 0.03994908651862368, 'yaw': -0.021649501369396695, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7328286170959473, 'x': -0.03396730023487382, 'y': 0.00345023334461702, 'z': 0.039929867433780346, 'yaw': -0.02233332385200182, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7459232807159424, 'x': -0.033880211958362966, 'y': 0.0036267027971976723, 'z': 0.03985447229208947, 'yaw': -0.024143644543040743, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.756051778793335, 'x': -0.033924423444091155, 'y': 0.003445905705940259, 'z': 0.0399260809152629, 'yaw': -0.02245017072633093, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7658424377441406, 'x': -0.03214925142810746, 'y': 0.004022947017692915, 'z': 0.040829286505909855, 'yaw': -0.0011068636816746746, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.7717981338500977, 'x': -0.03232208141358531, 'y': 0.003950721057133104, 'z': 0.0407007205070586, 'yaw': -0.001325934370273174, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.785912275314331, 'x': -0.032151273834419854, 'y': 0.004003650162599621, 'z': 0.040813672248864695, 'yaw': -0.0004320242456721246, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
{'time': 1.795861005783081, 'x': -0.0323294023535289, 'y': 0.003975796360418174, 'z': 0.04069006550503921, 'yaw': -0.0010379555805446472, 'x_sp': 0, 'y_sp': 0, 'z_sp': 0, 'yaw_sp': 0}
